source_record_id,source_id,evidence_class,longitude,latitude,water_depth_m,cruise,station_id,event_id,sample_datetime_utc,sample_method,sampled_area_m2,abundance_value_original,abundance_unit_original,abundance_basis,nodule_mass_kg,abundance_kg_m2,nodule_count,nodule_density_m2,visible_cover_percent,mean_nodule_mass_g,mn_pct,ni_pct,cu_pct,co_pct,derivation_formula,observation_or_prediction,is_open,quality_grade,duplicate_group_id,qa_status,notes
src_so268_boxcore_COUNT_000027,src_so268_boxcore,COUNT,-117.0602,11.8453,4124.0,SO268/2,,SO268/2_166-1,2019-04-30T00:00:00,box_corer,0.25,,,,,37.3,65.0,260.0,,143.46153846153845,,,,,"nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); mass sum excludes 39 unweighed sub-5g nodules (measured-only, so total is very slightly low by construction); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade)",observed,True,A,dupgrp_src_so268_boxcore_COUNT_000027,pending,"duplicate of src_so268_nodules_COUNT_000025 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000028,src_so268_boxcore,COUNT,-117.0511,11.8424,4129.0,SO268/2,,SO268/2_175-1,2019-05-09T00:00:00,box_corer,0.25,,,,,29.858490566037734,76.0,300.0,,99.52830188679245,,,,,"nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); mass sum excludes 22 unweighed sub-5g nodules (measured-only, so total is very slightly low by construction); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade)",observed,True,A,dupgrp_src_so268_boxcore_COUNT_000028,pending,"duplicate of src_so268_nodules_COUNT_000026 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000029,src_so268_boxcore,COUNT,-117.0596,11.8395,4143.0,SO268/2,,SO268/2_180-1,2019-05-10T00:00:00,box_corer,0.25,,,,,30.9,48.0,192.0,,160.9375,,,,,"nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); mass sum excludes 16 unweighed sub-5g nodules (measured-only, so total is very slightly low by construction); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade)",observed,True,A,dupgrp_src_so268_boxcore_COUNT_000029,pending,"duplicate of src_so268_nodules_COUNT_000027 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000030,src_so268_boxcore,COUNT,-117.0554,11.8409,4133.0,SO268/2,,SO268/2_181-1,2019-05-10T00:00:00,box_corer,0.25,,,,,35.347868852459015,81.0,324.0,,109.09836065573771,,,,,"nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); mass sum excludes 20 unweighed sub-5g nodules (measured-only, so total is very slightly low by construction); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade)",observed,True,A,dupgrp_src_so268_boxcore_COUNT_000030,pending,"duplicate of src_so268_nodules_COUNT_000028 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000031,src_so268_boxcore,COUNT,-117.0554,11.8497,4119.0,SO268/2,,SO268/2_182-1,2019-05-11T00:00:00,box_corer,0.25,,,,,24.98181818181818,90.0,360.0,,69.39393939393939,,,,,"nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); mass sum excludes 24 unweighed sub-5g nodules (measured-only, so total is very slightly low by construction); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade)",observed,True,A,dupgrp_src_so268_boxcore_COUNT_000031,pending,"duplicate of src_so268_nodules_COUNT_000029 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000032,src_so268_boxcore,COUNT,-117.0141,11.8629,4122.0,SO268/2,,SO268/2_189-1,2019-05-13T00:00:00,box_corer,0.25,,,,,20.98,51.0,204.0,,102.84313725490196,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000032,pending,"duplicate of src_so268_nodules_COUNT_000030 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000033,src_so268_boxcore,COUNT,-117.013,11.8631,4124.0,SO268/2,,SO268/2_190-1,2019-05-13T00:00:00,box_corer,0.25,,,,,21.74,40.0,160.0,,135.875,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000033,pending,"duplicate of src_so268_nodules_COUNT_000031 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000034,src_so268_boxcore,COUNT,-117.0125,11.8631,4117.0,SO268/2,,SO268/2_191-1,2019-05-13T00:00:00,box_corer,0.25,,,,,18.64,52.0,208.0,,89.61538461538461,,,,,nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade),observed,True,A,dupgrp_src_so268_boxcore_COUNT_000034,pending,"duplicate of src_so268_nodules_COUNT_000032 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COUNT_000035,src_so268_boxcore,COUNT,-117.057,11.8369,4134.0,SO268/2,,SO268/2_205-2,2019-05-16T00:00:00,box_corer,0.25,,,,,24.12842105263158,57.0,292.0,,82.63157894736842,,,,,"nodule_mass_kg = sum(measured nodule masses); mean_nodule_mass_g = nodule_mass_kg*1000 / weighed_count (not nodule_count); mass sum excludes 16 unweighed sub-5g nodules (measured-only, so total is very slightly low by construction); abundance_kg_m2 = nodule_density_m2 * mean_nodule_mass_g / 1000 (count->mass is an assumption; see quality_grade)",observed,True,A,dupgrp_src_so268_boxcore_COUNT_000035,pending,"duplicate of src_so268_nodules_COUNT_000033 (src_so268_nodules); merged fields: abundance_kg_m2, derivation_formula, mean_nodule_mass_g, nodule_density_m2"
src_so268_boxcore_COVER_000000,src_so268_boxcore,COVER,-117.0272,11.9313,4051.0,SO268/1,,SO268/1_12-2,2019-03-02T00:00:00,box_corer,0.25,,,,,,,,43.0,,,,,,,observed,True,B,,flagged,"source header flags this event ""GER Trial; failed"" (failed recovery); measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)"
src_so268_boxcore_COVER_000001,src_so268_boxcore,COVER,-117.0255,11.9298,4090.0,SO268/1,,SO268/1_15-3,2019-03-04T00:00:00,box_corer,0.25,,,,,,,,51.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000002,src_so268_boxcore,COVER,-117.0273,11.9311,4088.0,SO268/1,,SO268/1_24-3,2019-03-06T00:00:00,box_corer,0.25,,,,,,,,54.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000003,src_so268_boxcore,COVER,-117.0304,11.9339,4085.0,SO268/1,,SO268/1_27-1,2019-03-06T00:00:00,box_corer,0.25,,,,,,,,60.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000004,src_so268_boxcore,COVER,-117.0219,11.9271,4093.0,SO268/1,,SO268/1_28-1,2019-03-06T00:00:00,box_corer,0.25,,,,,,,,46.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000005,src_so268_boxcore,COVER,-117.0181,11.9244,4096.0,SO268/1,,SO268/1_33-1,2019-03-08T00:00:00,box_corer,0.25,,,,,,,,42.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000006,src_so268_boxcore,COVER,-117.0224,11.9306,4089.0,SO268/1,,SO268/1_44-2,2019-03-10T00:00:00,box_corer,0.25,,,,,,,,39.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000007,src_so268_boxcore,COVER,-125.8712,14.1134,4507.0,SO268/1,,SO268/1_52-1,2019-03-14T00:00:00,box_corer,0.25,,,,,,,,38.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000008,src_so268_boxcore,COVER,-125.8743,14.1119,4485.0,SO268/1,,SO268/1_53-1,2019-03-15T00:00:00,box_corer,0.25,,,,,,,,36.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000009,src_so268_boxcore,COVER,-125.8641,14.1082,4512.0,SO268/1,,SO268/1_60-1,2019-03-16T00:00:00,box_corer,0.25,,,,,,,,42.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000010,src_so268_boxcore,COVER,-125.8721,14.1145,4500.0,SO268/1,,SO268/1_61-1,2019-03-16T00:00:00,box_corer,0.25,,,,,,,,36.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000011,src_so268_boxcore,COVER,-125.8675,14.1106,4509.0,SO268/1,,SO268/1_72-1,2019-03-19T00:00:00,box_corer,0.25,,,,,,,,40.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000012,src_so268_boxcore,COVER,-125.9245,14.0361,4540.0,SO268/1,,SO268/1_76-1,2019-03-20T00:00:00,box_corer,0.25,,,,,,,,24.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000013,src_so268_boxcore,COVER,-125.929,14.0333,4539.0,SO268/1,,SO268/1_82-1,2019-03-22T00:00:00,box_corer,0.25,,,,,,,,25.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000014,src_so268_boxcore,COVER,-125.9251,14.0289,4544.0,SO268/1,,SO268/1_83-1,2019-03-22T00:00:00,box_corer,0.25,,,,,,,,20.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000015,src_so268_boxcore,COVER,-117.0127,11.8623,4120.0,SO268/2,,SO268/2_95-2,2019-04-04T00:00:00,box_corer,0.25,,,,,,,,38.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000016,src_so268_boxcore,COVER,-117.0139,11.8623,4122.0,SO268/2,,SO268/2_96-1,2019-04-05T00:00:00,box_corer,0.25,,,,,,,,40.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000017,src_so268_boxcore,COVER,-117.0147,11.8637,4123.0,SO268/2,,SO268/2_102-1,2019-04-07T00:00:00,box_corer,0.25,,,,,,,,60.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000018,src_so268_boxcore,COVER,-117.012,11.8651,4116.0,SO268/2,,SO268/2_103-1,2019-04-07T00:00:00,box_corer,0.25,,,,,,,,48.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000019,src_so268_boxcore,COVER,-117.0112,11.8619,4117.0,SO268/2,,SO268/2_116-1,2019-04-10T00:00:00,box_corer,0.25,,,,,,,,46.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000020,src_so268_boxcore,COVER,-125.8751,14.1167,4503.0,SO268/2,,SO268/2_129-1,2019-04-16T00:00:00,box_corer,0.25,,,,,,,,43.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000021,src_so268_boxcore,COVER,-125.9167,14.0317,4522.0,SO268/2,,SO268/2_140-1,2019-04-19T00:00:00,box_corer,0.25,,,,,,,,22.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000022,src_so268_boxcore,COVER,-125.9224,14.0188,4541.0,SO268/2,,SO268/2_141-1,2019-04-19T00:00:00,box_corer,0.25,,,,,,,,15.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000023,src_so268_boxcore,COVER,-125.9208,14.0251,4541.0,SO268/2,,SO268/2_142-1,2019-04-19T00:00:00,box_corer,0.25,,,,,,,,20.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000024,src_so268_boxcore,COVER,-125.9158,14.019,4529.0,SO268/2,,SO268/2_148-1,2019-04-21T00:00:00,box_corer,0.25,,,,,,,,12.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000025,src_so268_boxcore,COVER,-125.8608,14.1052,4516.0,SO268/2,,SO268/2_149-1,2019-04-21T00:00:00,box_corer,0.25,,,,,,,,4.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000026,src_so268_boxcore,COVER,-117.0138,11.921,4125.0,SO268/2,,SO268/2_161-1,2019-04-28T00:00:00,box_corer,0.25,,,,,,,,59.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000027,src_so268_boxcore,COVER,-117.0602,11.8453,4124.0,SO268/2,,SO268/2_166-1,2019-04-30T00:00:00,box_corer,0.25,,,,,,,,37.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000028,src_so268_boxcore,COVER,-117.0511,11.8424,4129.0,SO268/2,,SO268/2_175-1,2019-05-09T00:00:00,box_corer,0.25,,,,,,,,55.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000029,src_so268_boxcore,COVER,-117.0596,11.8395,4143.0,SO268/2,,SO268/2_180-1,2019-05-10T00:00:00,box_corer,0.25,,,,,,,,44.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000030,src_so268_boxcore,COVER,-117.0554,11.8409,4133.0,SO268/2,,SO268/2_181-1,2019-05-10T00:00:00,box_corer,0.25,,,,,,,,62.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000031,src_so268_boxcore,COVER,-117.0554,11.8497,4119.0,SO268/2,,SO268/2_182-1,2019-05-11T00:00:00,box_corer,0.25,,,,,,,,53.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000032,src_so268_boxcore,COVER,-117.0141,11.8629,4122.0,SO268/2,,SO268/2_189-1,2019-05-13T00:00:00,box_corer,0.25,,,,,,,,52.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000033,src_so268_boxcore,COVER,-117.013,11.8631,4124.0,SO268/2,,SO268/2_190-1,2019-05-13T00:00:00,box_corer,0.25,,,,,,,,54.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000034,src_so268_boxcore,COVER,-117.0125,11.8631,4117.0,SO268/2,,SO268/2_191-1,2019-05-13T00:00:00,box_corer,0.25,,,,,,,,50.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_COVER_000035,src_so268_boxcore,COVER,-117.057,11.8369,4134.0,SO268/2,,SO268/2_205-2,2019-05-16T00:00:00,box_corer,0.25,,,,,,,,47.0,,,,,,,observed,True,B,,pending,measurement-derived cover: summed ellipsoidal footprint of surface-visible nodules / corer area (not image-derived)
src_so268_boxcore_MASS_000000,src_so268_boxcore,MASS,-117.0272,11.9313,4051.0,SO268/1,,SO268/1_12-2,2019-03-02T00:00:00,box_corer,0.25,,,,3.4,13.6,,,,28.88888888888889,,,,,abundance_kg_m2 = nodule_mass_kg / sampled_area_m2,observed,True,A,dupgrp_src_so268_boxcore_MASS_000000,flagged,"source header flags this event ""GER Trial; failed"" (failed recovery); duplicate of src_so268_nodules_MASS_000000 (src_so268_nodules); merged fields: mean_nodule_mass_g"
